,bodyId_pre,bodyId_post,weight,instance_pre,instance_post
0,264083994,299272434,4,DN1a1,SLP443
1,264083994,325814461,10,DN1a1,LHPV4c3
2,264083994,326119769,4,DN1a1,SLP457
3,264083994,356472645,3,DN1a1,SLP364
4,264083994,356503889,7,DN1a1,LHPV6f4_b
5,264083994,356818551,3,DN1a1,LPN1
6,264083994,357482735,3,DN1a1,SLP460
7,264083994,386833812,4,DN1a1,LHPV4c4_a
8,264083994,386833850,17,DN1a1,SMP529
9,264083994,388297625,4,DN1a1,
10,264083994,388881226,23,DN1a1,LHPV6m1
11,264083994,389199936,4,DN1a1,SLP304
12,264083994,390344371,3,DN1a1,SMP230
13,264083994,390356988,3,DN1a1,SMP217
14,264083994,391362634,3,DN1a1,SMP344
15,264083994,417890128,21,DN1a1,LHPV4c4_b
16,264083994,449681157,11,DN1a1,SMP232
17,264083994,450583886,4,DN1a1,SLP460
18,264083994,450700075,8,DN1a1,SLP266
19,264083994,479290982,3,DN1a1,SLP337
20,264083994,479987085,22,DN1a1,SLP266
21,264083994,509643775,3,DN1a1,SLP266
22,264083994,510680365,5,DN1a1,SMP444
23,264083994,511051477,55,DN1a1,5th sLNv
24,264083994,514068564,3,DN1a1,LHPD5a1
25,264083994,515385637,5,DN1a1,SLP270
26,264083994,540657374,9,DN1a1,LHPV6f5
27,264083994,540679089,16,DN1a1,SLP267
28,264083994,540998783,12,DN1a1,LHPV4c1_a
29,264083994,540998882,35,DN1a1,SMP232
30,264083994,541378802,17,DN1a1,SLP267
31,264083994,543062097,7,DN1a1,CL356
32,264083994,543365167,15,DN1a1,SMP232
33,264083994,571368849,7,DN1a1,SMP232
34,264083994,571372889,19,DN1a1,SLP267
35,264083994,571713905,34,DN1a1,SLP266
36,264083994,574395611,25,DN1a1,SLP267
37,264083994,576079106,4,DN1a1,CL032
38,264083994,602675369,43,DN1a1,SLP266
39,264083994,633097828,78,DN1a1,LHAV3q1
40,264083994,633438933,3,DN1a1,LHPV4c1_b
41,264083994,633793553,68,DN1a1,LHAV3p1
42,264083994,636594376,7,DN1a1,SMP200
43,264083994,694472338,6,DN1a1,LHPV4c1_b
44,264083994,694813336,3,DN1a1,ATL020
45,264083994,694813676,7,DN1a1,LHPV4c1_b
46,264083994,695154095,3,DN1a1,
47,264083994,695154667,3,DN1a1,SMP244
48,264083994,698970725,3,DN1a1,WEDPN12
49,264083994,726184776,3,DN1a1,
50,264083994,756502912,3,DN1a1,PLP080
51,264083994,756874510,3,DN1a1,SLP325
52,264083994,787908929,3,DN1a1,LHPV4c1_b
53,264083994,823063281,5,DN1a1,PLP144
54,264083994,829141094,7,DN1a1,aMe15
55,264083994,912601209,5,DN1a1,PLP244
56,264083994,1127886064,5,DN1a1,
57,264083994,1128235633,3,DN1a1,aMe17c
58,264083994,1128274593,8,DN1a1,
59,264083994,1129306180,3,DN1a1,PLP070
60,264083994,1159262177,3,DN1a1,
61,264083994,1320177531,44,DN1a1,
62,264083994,1345087352,5,DN1a1,PLP098
63,264083994,1346814892,38,DN1a1,
64,264083994,1532030136,3,DN1a1,
65,264083994,1687555356,4,DN1a1,
66,264083994,1812035520,6,DN1a1,
67,264083994,1858901026,5,DN1a1,VP2+_adPN
68,264083994,1975878958,3,DN1a1,VP2_adPN
69,264083994,5812980006,20,DN1a1,SLP368
70,264083994,5812980010,22,DN1a1,SLP267
71,264083994,5812980282,6,DN1a1,LHPV5j2
72,264083994,5812980289,44,DN1a1,AVLP594
73,264083994,5812981460,5,DN1a1,aMe8
74,264083994,5812995141,47,DN1a1,
75,264083994,5813010376,9,DN1a1,SLP266
76,264083994,5813012366,23,DN1a1,SLP267
77,264083994,5813021196,3,DN1a1,aMe17c
78,264083994,5813021217,4,DN1a1,
79,264083994,5813021615,5,DN1a1,aMe23
80,264083994,5813021948,18,DN1a1,
81,264083994,5813022274,10,DN1a1,DN1a2
82,264083994,5813022753,38,DN1a1,
83,264083994,5813040744,60,DN1a1,
84,264083994,5813047774,3,DN1a1,LHPD1b1
85,264083994,5813057153,4,DN1a1,SLP249
86,264083994,5813063829,8,DN1a1,CL356
87,264083994,5813069648,81,DN1a1,LNd6
88,264083994,5813078557,18,DN1a1,aMe13
89,264083994,5813108084,5,DN1a1,LHPV4c1_c
90,264083994,7112614253,7,DN1a1,
91,296544364,266187383,5,LNd1,SMP347
92,296544364,266187480,6,LNd1,SMP349
93,296544364,266873591,9,LNd1,SMP350
94,296544364,267214250,15,LNd1,pC1b
95,296544364,296199026,7,LNd1,SMP350
96,296544364,296885362,13,LNd1,SMP126
97,296544364,297230760,10,LNd1,5-HTPMPD01
98,296544364,297243542,49,LNd1,SMP335
99,296544364,297251765,6,LNd1,SMP486_a
100,296544364,297563139,3,LNd1,SMP515
101,296544364,297580512,10,LNd1,SMP486_a
102,296544364,297584869,4,LNd1,SMP035
103,296544364,297588775,4,LNd1,SMP481
104,296544364,297588838,4,LNd1,SMP486_b
105,296544364,297588882,4,LNd1,
106,296544364,297588995,3,LNd1,SMP296
107,296544364,297925719,6,LNd1,SMP478
108,296544364,297929807,3,LNd1,
109,296544364,297929902,7,LNd1,
110,296544364,297934049,3,LNd1,
111,296544364,297938303,3,LNd1,
112,296544364,298279629,17,LNd1,SMP486_f
